business_id,transaction_id,transaction_type,trans_time_stamp,metro_location,trans_amount,avail_credit,account_age,income_bracket,industry,is_fraud
189,5634,Office Supplies,2024-02-29 20:28:03.609904,New York–Newark–Jersey City,1215.053724350677,29415.659486968205,510,500k - 1m,"Finance, Insurance, And Real Estate",1
901,3411,Office Supplies,2024-03-14 20:28:03.605800,Chicago–Naperville–Elgin,837.1311962747172,12996.328906282644,357,250k - 500k,Construction,0
522,9823,Payroll,2023-12-18 20:28:03.616686,New York–Newark–Jersey City,1246.3659228005858,7623.113710211043,476,0 - 250k,Construction,1
579,7287,Client Expenses,2022-10-07 20:28:03.612764,Austin–Round Rock–San Marcos,1960.7569381174858,24168.092647586447,711,0 - 250k,"Finance, Insurance, And Real Estate",0
113,6722,Utilities,2023-11-06 20:28:03.611883,Chicago–Naperville–Elgin,1873.9674296719247,48972.30622656579,81,0 - 250k,Retail Trade,0
784,7818,Vendor Payments,2023-01-07 20:28:03.613586,Austin–Round Rock–San Marcos,1866.6020964703891,39933.843315518025,222,1m +,Wholesale Trade,0
403,5972,Utilities,2024-02-05 20:28:03.610691,Austin–Round Rock–San Marcos,498.5557327327641,17057.2673404496,498,1m +,Wholesale Trade,0
375,436,Utilities,2023-03-24 20:28:03.600402,Austin–Round Rock–San Marcos,718.5538315291193,1786.7727940112377,265,500k - 1m,"Agriculture, Forestry, And Fishing",0
873,2599,Utilities,2024-05-15 20:28:03.604319,New York–Newark–Jersey City,861.3353790656804,20620.905227443654,707,250k - 500k,Construction,1
540,6594,Client Expenses,2023-08-23 20:28:03.611682,Austin–Round Rock–San Marcos,737.3888234905451,42201.6174876254,244,less than 0,Wholesale Trade,0
603,5544,Office Supplies,2022-12-03 20:28:03.609751,Dallas–Fort Worth–Arlington,1790.7833201602107,32286.110732398643,645,0 - 250k,"Finance, Insurance, And Real Estate",0
316,3243,Utilities,2023-10-28 20:28:03.605516,New York–Newark–Jersey City,718.9431525786831,46593.55556077497,625,250k - 500k,Retail Trade,0
559,9614,Office Supplies,2022-12-09 20:28:03.616366,Dallas–Fort Worth–Arlington,1159.1883968625373,22744.48312345768,169,500k - 1m,"Agriculture, Forestry, And Fishing",0
916,7855,Vendor Payments,2023-12-24 20:28:03.613643,Chicago–Naperville–Elgin,325.9601924984428,23410.154828640618,361,less than 0,"Agriculture, Forestry, And Fishing",0
555,7765,Vendor Payments,2023-09-07 20:28:03.613506,Dallas–Fort Worth–Arlington,590.1404534997383,39403.02229814544,645,250k - 500k,"Finance, Insurance, And Real Estate",0
629,3971,Payroll,2023-04-19 20:28:03.606769,New York–Newark–Jersey City,659.4449176553352,48376.82380890656,680,less than 0,Wholesale Trade,0
938,6288,Payroll,2024-07-24 20:28:03.611194,Dallas–Fort Worth–Arlington,1851.3024138665191,41071.981581369306,477,less than 0,Construction,0
902,2532,Client Expenses,2022-12-14 20:28:03.604204,Dallas–Fort Worth–Arlington,1582.3795311265999,48790.22101047224,103,1m +,"Agriculture, Forestry, And Fishing",0
153,2117,Utilities,2024-04-01 20:28:03.603487,Austin–Round Rock–San Marcos,916.2767258482794,27904.82874453249,641,500k - 1m,Construction,0
559,4089,Rent,2022-11-03 20:28:03.606985,Los Angeles–Long Beach–Anaheim,82.41739148309257,2127.638730360731,311,500k - 1m,Retail Trade,0
324,1516,Client Expenses,2023-02-11 20:28:03.602354,Los Angeles–Long Beach–Anaheim,1665.7320248070057,34860.30469331472,689,0 - 250k,Construction,0
319,2110,Office Supplies,2023-04-20 20:28:03.603473,Austin–Round Rock–San Marcos,868.5835388605942,25971.160894772027,17,500k - 1m,Construction,0
190,4470,Rent,2023-04-03 20:28:03.607879,Dallas–Fort Worth–Arlington,1350.0101771647142,26068.287947209006,111,1m +,Retail Trade,0
420,1582,Office Supplies,2024-04-27 20:28:03.602475,Austin–Round Rock–San Marcos,1440.4908015499639,1995.1171271544276,581,1m +,Wholesale Trade,1
590,1678,Utilities,2023-12-11 20:28:03.602637,Dallas–Fort Worth–Arlington,245.775578922778,32628.53909687317,205,1m +,"Finance, Insurance, And Real Estate",1
279,2880,Rent,2022-12-14 20:28:03.604792,Los Angeles–Long Beach–Anaheim,13.981570798348164,43460.87660830998,330,500k - 1m,Wholesale Trade,0
482,4385,Payroll,2023-06-14 20:28:03.607731,Dallas–Fort Worth–Arlington,1220.3660216736341,22414.5622102432,382,0 - 250k,Construction,0
804,5747,Office Supplies,2023-02-07 20:28:03.610248,Austin–Round Rock–San Marcos,293.12400562872944,46122.0796945967,283,less than 0,"Agriculture, Forestry, And Fishing",0
168,711,Rent,2024-09-05 20:28:03.600938,Los Angeles–Long Beach–Anaheim,1030.7486614893503,39384.420112549604,665,less than 0,Construction,0
891,8691,Office Supplies,2023-04-13 20:28:03.614929,Los Angeles–Long Beach–Anaheim,234.57891445094404,32459.46756783259,213,less than 0,Wholesale Trade,0
955,4339,Utilities,2024-06-26 20:28:03.607654,Los Angeles–Long Beach–Anaheim,337.96273844435666,3696.2788279042315,706,250k - 500k,Wholesale Trade,0
96,200,Rent,2023-06-04 20:28:03.599861,Dallas–Fort Worth–Arlington,1572.5878576833966,20057.995362376045,370,500k - 1m,Construction,0
92,3316,Vendor Payments,2023-04-02 20:28:03.605641,Chicago–Naperville–Elgin,798.1024373423082,18584.799996473772,699,250k - 500k,"Agriculture, Forestry, And Fishing",0
187,7001,Utilities,2023-08-22 20:28:03.612327,Los Angeles–Long Beach–Anaheim,1262.750615208309,46553.60860263306,300,less than 0,Wholesale Trade,0
631,1246,Vendor Payments,2024-04-06 20:28:03.601876,Los Angeles–Long Beach–Anaheim,1664.9847401122884,32460.981677081934,707,250k - 500k,"Agriculture, Forestry, And Fishing",0
366,8907,Office Supplies,2023-11-27 20:28:03.615269,Dallas–Fort Worth–Arlington,447.52804081539676,21712.16960495236,407,250k - 500k,"Agriculture, Forestry, And Fishing",0
192,2317,Payroll,2024-09-01 20:28:03.603825,Dallas–Fort Worth–Arlington,1317.0128943847924,19533.309233909218,548,500k - 1m,"Agriculture, Forestry, And Fishing",1
245,2063,Office Supplies,2023-03-23 20:28:03.603339,Austin–Round Rock–San Marcos,1632.9205068656693,49922.311328642536,376,0 - 250k,"Finance, Insurance, And Real Estate",1
654,1360,Vendor Payments,2023-09-21 20:28:03.602089,New York–Newark–Jersey City,610.2242793568184,4637.26636893636,384,0 - 250k,Retail Trade,1
882,5378,Utilities,2023-09-01 20:28:03.609468,Austin–Round Rock–San Marcos,1345.8047203307965,31693.973409416038,728,1m +,Construction,0
28,1219,Utilities,2024-02-13 20:28:03.601831,New York–Newark–Jersey City,115.05356742930827,18833.156950128287,405,250k - 500k,"Agriculture, Forestry, And Fishing",1
153,403,Vendor Payments,2023-12-19 20:28:03.600339,Dallas–Fort Worth–Arlington,1809.8368406885338,30308.421332239177,324,0 - 250k,"Agriculture, Forestry, And Fishing",0
446,5029,Vendor Payments,2022-12-03 20:28:03.608852,Los Angeles–Long Beach–Anaheim,507.9748984100434,8115.974766101374,260,1m +,Wholesale Trade,1
483,3296,Client Expenses,2024-01-29 20:28:03.605607,Austin–Round Rock–San Marcos,1662.3759120328896,39043.20281922076,263,500k - 1m,"Finance, Insurance, And Real Estate",0
670,4139,Utilities,2024-09-02 20:28:03.607071,New York–Newark–Jersey City,1544.5532514038862,42173.84675855234,334,250k - 500k,"Finance, Insurance, And Real Estate",1
528,8833,Rent,2023-07-22 20:28:03.615155,Austin–Round Rock–San Marcos,439.40356052922414,8103.434064851494,46,0 - 250k,Retail Trade,0
352,9572,Rent,2023-08-17 20:28:03.616302,Los Angeles–Long Beach–Anaheim,850.132660302122,4179.936831598341,366,1m +,"Finance, Insurance, And Real Estate",1
911,4936,Office Supplies,2023-07-29 20:28:03.608693,Chicago–Naperville–Elgin,1769.1424128275346,36677.4646986189,129,500k - 1m,Wholesale Trade,0
997,2736,Rent,2023-03-22 20:28:03.604550,New York–Newark–Jersey City,1010.0541770045882,39182.00556295149,327,0 - 250k,"Agriculture, Forestry, And Fishing",1
81,1958,Payroll,2023-07-13 20:28:03.603127,Los Angeles–Long Beach–Anaheim,1386.2221190941143,24102.74510024878,715,less than 0,Wholesale Trade,0
805,2019,Client Expenses,2023-02-22 20:28:03.603264,Los Angeles–Long Beach–Anaheim,82.95972578890476,6889.823388687122,440,0 - 250k,Wholesale Trade,0
101,3727,Payroll,2022-10-30 20:28:03.606359,Chicago–Naperville–Elgin,990.9202663447205,22247.380114267722,641,250k - 500k,Retail Trade,0
615,8933,Office Supplies,2023-11-15 20:28:03.615309,Dallas–Fort Worth–Arlington,286.4551156203592,27737.455338488842,629,0 - 250k,Wholesale Trade,0
762,9287,Office Supplies,2024-03-28 20:28:03.615853,New York–Newark–Jersey City,733.9142255049096,29755.82824733391,567,500k - 1m,"Agriculture, Forestry, And Fishing",0
766,7068,Rent,2022-10-04 20:28:03.612430,Chicago–Naperville–Elgin,1246.2213751761124,19911.462123396213,632,250k - 500k,Retail Trade,0
19,2875,Office Supplies,2023-07-23 20:28:03.604783,Dallas–Fort Worth–Arlington,1595.407860599537,39395.917970739305,153,0 - 250k,Retail Trade,0
397,9836,Vendor Payments,2023-05-16 20:28:03.616705,Dallas–Fort Worth–Arlington,1876.3191212129184,31503.6964848116,483,1m +,Retail Trade,1
49,5363,Vendor Payments,2024-09-08 20:28:03.609443,Chicago–Naperville–Elgin,1943.9801971614525,8828.948624473198,211,1m +,Retail Trade,0
704,1096,Utilities,2024-01-03 20:28:03.601623,Chicago–Naperville–Elgin,588.0594763102088,33896.49531580493,293,less than 0,Construction,0
178,4069,Payroll,2024-07-18 20:28:03.606934,New York–Newark–Jersey City,1567.1853148346609,14481.936499595338,594,less than 0,Construction,1
527,2027,Client Expenses,2024-01-30 20:28:03.603278,Dallas–Fort Worth–Arlington,1305.7461859403197,9291.018775954262,601,less than 0,"Finance, Insurance, And Real Estate",0
628,9119,Payroll,2023-11-30 20:28:03.615593,Dallas–Fort Worth–Arlington,1626.289582029038,37775.40382626479,18,250k - 500k,Wholesale Trade,0
93,6334,Utilities,2023-08-28 20:28:03.611262,Los Angeles–Long Beach–Anaheim,646.4671541357086,8005.077785088677,423,500k - 1m,Construction,0
948,809,Office Supplies,2023-12-31 20:28:03.601140,New York–Newark–Jersey City,632.3561017524169,32096.70698828605,348,less than 0,"Finance, Insurance, And Real Estate",1
44,3651,Payroll,2023-07-22 20:28:03.606230,Austin–Round Rock–San Marcos,1281.9882322523117,35423.117394968154,137,500k - 1m,"Finance, Insurance, And Real Estate",0
976,7587,Utilities,2024-05-27 20:28:03.613234,Chicago–Naperville–Elgin,376.0343071071557,31974.633750274003,106,1m +,Retail Trade,0
673,1370,Rent,2024-02-06 20:28:03.602106,Dallas–Fort Worth–Arlington,370.2930834789031,5585.614105120929,573,less than 0,Construction,0
451,4635,Payroll,2022-12-17 20:28:03.608178,Chicago–Naperville–Elgin,476.77138430693634,19328.398448158292,638,1m +,"Agriculture, Forestry, And Fishing",0
466,1171,Vendor Payments,2023-11-12 20:28:03.601750,Chicago–Naperville–Elgin,46.75515079088832,27676.19770811736,218,0 - 250k,Construction,0
780,3613,Office Supplies,2023-11-02 20:28:03.606166,Dallas–Fort Worth–Arlington,1640.0835823973782,47760.07695590599,724,0 - 250k,"Agriculture, Forestry, And Fishing",0
222,4341,Rent,2023-08-27 20:28:03.607657,Chicago–Naperville–Elgin,1861.930230033088,27958.096577668377,586,1m +,"Finance, Insurance, And Real Estate",1
945,5941,Client Expenses,2022-11-09 20:28:03.610638,Chicago–Naperville–Elgin,1097.9652980497387,42622.383392849675,656,500k - 1m,Construction,0
929,909,Client Expenses,2023-12-27 20:28:03.601308,Chicago–Naperville–Elgin,1561.6292621705911,49080.13708572531,676,500k - 1m,"Finance, Insurance, And Real Estate",0
78,9749,Vendor Payments,2024-03-10 20:28:03.616572,Dallas–Fort Worth–Arlington,1600.2627217658571,11939.942325117676,602,less than 0,"Finance, Insurance, And Real Estate",1
589,6110,Rent,2022-11-07 20:28:03.610906,Dallas–Fort Worth–Arlington,1977.2204847739258,23565.77787601308,332,1m +,Retail Trade,0
660,8777,Rent,2024-09-18 20:28:03.615070,Austin–Round Rock–San Marcos,1571.364163552062,35923.193103434955,104,less than 0,Construction,0
578,1091,Rent,2023-05-11 20:28:03.601615,Chicago–Naperville–Elgin,1008.7449862783044,9757.59842874595,589,250k - 500k,Retail Trade,0
543,1316,Utilities,2024-06-25 20:28:03.602013,Austin–Round Rock–San Marcos,1617.417289641488,31497.00394615215,658,less than 0,Construction,0
463,7551,Payroll,2023-09-20 20:28:03.613179,Los Angeles–Long Beach–Anaheim,181.316987318342,27977.32343723871,23,0 - 250k,Retail Trade,0
810,6858,Vendor Payments,2022-11-30 20:28:03.612109,Los Angeles–Long Beach–Anaheim,1942.877760073184,3468.615996973351,21,500k - 1m,"Agriculture, Forestry, And Fishing",0
242,2501,Payroll,2023-07-09 20:28:03.604152,Austin–Round Rock–San Marcos,1797.9821121041878,11324.182474194844,406,1m +,"Finance, Insurance, And Real Estate",1
552,7376,Client Expenses,2023-02-23 20:28:03.612900,Dallas–Fort Worth–Arlington,320.1523249867209,42047.13260489282,324,0 - 250k,Construction,0
921,9028,Client Expenses,2023-08-30 20:28:03.615453,Dallas–Fort Worth–Arlington,1930.6245324269298,30692.803471033738,187,less than 0,Retail Trade,0
927,3514,Office Supplies,2024-08-30 20:28:03.605999,Los Angeles–Long Beach–Anaheim,1454.4313760372847,36157.13539269687,217,0 - 250k,Wholesale Trade,0
655,1969,Payroll,2024-02-04 20:28:03.603146,Austin–Round Rock–San Marcos,1335.617143811064,34299.067964662114,135,500k - 1m,"Agriculture, Forestry, And Fishing",0
546,9153,Client Expenses,2024-05-16 20:28:03.615644,Dallas–Fort Worth–Arlington,423.16766579098396,24207.28252215959,153,0 - 250k,"Finance, Insurance, And Real Estate",1
236,1076,Vendor Payments,2024-01-18 20:28:03.601589,Los Angeles–Long Beach–Anaheim,1040.1251503692267,24287.70014952135,149,less than 0,Wholesale Trade,0
981,9882,Rent,2023-03-07 20:28:03.616777,Austin–Round Rock–San Marcos,1880.9467261228765,384.5517988655955,397,250k - 500k,Wholesale Trade,1
280,477,Utilities,2024-03-12 20:28:03.600484,Dallas–Fort Worth–Arlington,1713.3876066531288,49584.0325558417,711,0 - 250k,Construction,0
739,4338,Payroll,2024-02-02 20:28:03.607652,Dallas–Fort Worth–Arlington,1212.7589571480676,12044.63347058653,611,0 - 250k,"Agriculture, Forestry, And Fishing",0
391,1469,Payroll,2023-02-08 20:28:03.602274,Chicago–Naperville–Elgin,1996.1425071844742,16612.41345662742,355,250k - 500k,Retail Trade,0
391,1986,Client Expenses,2022-10-11 20:28:03.603175,Austin–Round Rock–San Marcos,1042.159392208033,14110.208027590415,697,500k - 1m,Construction,0
656,3183,Utilities,2024-05-20 20:28:03.605416,Austin–Round Rock–San Marcos,1095.3714460582883,21456.879547763958,201,less than 0,Construction,0
290,5642,Client Expenses,2024-02-10 20:28:03.609918,Dallas–Fort Worth–Arlington,1050.3179175558344,20368.017684181705,244,less than 0,Retail Trade,0
3,9103,Vendor Payments,2024-01-02 20:28:03.615568,Los Angeles–Long Beach–Anaheim,136.0981100099279,41126.240917097486,391,250k - 500k,Construction,0
832,2405,Vendor Payments,2024-08-17 20:28:03.603992,Dallas–Fort Worth–Arlington,964.9987497314922,34165.94194402645,491,0 - 250k,"Agriculture, Forestry, And Fishing",0
165,2738,Client Expenses,2024-03-09 20:28:03.604553,Austin–Round Rock–San Marcos,1749.8236665095767,33415.58476747078,66,0 - 250k,"Finance, Insurance, And Real Estate",0
630,3661,Utilities,2023-09-29 20:28:03.606247,Austin–Round Rock–San Marcos,1279.2764186069917,20092.38108520932,203,less than 0,Construction,0
146,1268,Office Supplies,2024-04-24 20:28:03.601913,New York–Newark–Jersey City,787.0280253272415,46310.150828125945,578,1m +,Retail Trade,1
980,2730,Payroll,2022-10-13 20:28:03.604540,Chicago–Naperville–Elgin,1176.6499889248928,26624.279145942077,466,1m +,"Finance, Insurance, And Real Estate",1
645,1346,Office Supplies,2024-05-11 20:28:03.602065,Los Angeles–Long Beach–Anaheim,501.12351313596105,34222.55521751752,707,500k - 1m,"Agriculture, Forestry, And Fishing",0
424,7988,Vendor Payments,2023-02-17 20:28:03.613846,Los Angeles–Long Beach–Anaheim,654.3538850570878,41464.224787251245,706,less than 0,Retail Trade,0
505,4411,Payroll,2024-02-04 20:28:03.607776,Los Angeles–Long Beach–Anaheim,832.818558955612,32826.95559386848,720,0 - 250k,Retail Trade,1
713,4305,Client Expenses,2024-07-19 20:28:03.607594,Chicago–Naperville–Elgin,162.8817346438658,16465.799583615328,74,0 - 250k,Construction,0
648,857,Client Expenses,2023-07-02 20:28:03.601220,Los Angeles–Long Beach–Anaheim,1067.4029943531034,33197.21198402785,625,1m +,Construction,0
659,2392,Rent,2022-12-03 20:28:03.603970,Los Angeles–Long Beach–Anaheim,1879.9665707816528,28449.750720114545,152,less than 0,Wholesale Trade,0
576,4366,Utilities,2023-11-22 20:28:03.607700,New York–Newark–Jersey City,773.2643844274114,49924.81624012261,109,500k - 1m,Retail Trade,1
948,7836,Vendor Payments,2024-03-27 20:28:03.613614,Chicago–Naperville–Elgin,1171.7979415020798,34371.819988839656,658,0 - 250k,"Finance, Insurance, And Real Estate",1
673,387,Client Expenses,2023-01-15 20:28:03.600308,Los Angeles–Long Beach–Anaheim,226.45158450243508,14367.868538142742,185,less than 0,Wholesale Trade,0
805,3071,Utilities,2022-11-02 20:28:03.605227,Los Angeles–Long Beach–Anaheim,1694.8417752533117,2070.1429592134723,336,250k - 500k,Wholesale Trade,0
445,2606,Utilities,2023-06-02 20:28:03.604331,Los Angeles–Long Beach–Anaheim,1335.9652756587889,1407.6411810027334,592,500k - 1m,Retail Trade,0
215,1660,Office Supplies,2022-11-08 20:28:03.602607,Chicago–Naperville–Elgin,928.9522914346766,12269.59799670035,189,less than 0,"Finance, Insurance, And Real Estate",1
118,1500,Client Expenses,2023-07-24 20:28:03.602327,New York–Newark–Jersey City,1292.526754081455,10616.07669967673,522,250k - 500k,Construction,1
69,9465,Utilities,2024-05-01 20:28:03.616138,New York–Newark–Jersey City,99.50758282728644,16735.22431353908,253,1m +,"Finance, Insurance, And Real Estate",1
881,4679,Payroll,2023-03-11 20:28:03.608258,Austin–Round Rock–San Marcos,848.9927490543349,18507.496527363513,294,250k - 500k,"Finance, Insurance, And Real Estate",1
711,7926,Rent,2023-08-19 20:28:03.613751,New York–Newark–Jersey City,789.3012539973297,20945.703414798074,172,500k - 1m,Retail Trade,0
117,609,Payroll,2024-09-27 20:28:03.600738,Chicago–Naperville–Elgin,1503.2097366462856,33837.406253142966,279,less than 0,Construction,0
994,2781,Payroll,2023-06-07 20:28:03.604625,Los Angeles–Long Beach–Anaheim,913.7981418289811,4008.8661221678144,305,0 - 250k,"Agriculture, Forestry, And Fishing",0
835,708,Office Supplies,2023-02-04 20:28:03.600933,Austin–Round Rock–San Marcos,690.4142016706647,37735.448932178304,630,1m +,"Finance, Insurance, And Real Estate",0
316,965,Payroll,2024-03-04 20:28:03.601402,Chicago–Naperville–Elgin,1994.1497538262875,5523.646302737201,184,less than 0,Wholesale Trade,1
695,9590,Client Expenses,2024-03-12 20:28:03.616330,Dallas–Fort Worth–Arlington,1348.1357880354205,611.7511440198398,420,250k - 500k,"Finance, Insurance, And Real Estate",1
931,3872,Vendor Payments,2023-06-24 20:28:03.606601,Austin–Round Rock–San Marcos,1680.97911321737,41046.74534494323,440,less than 0,"Agriculture, Forestry, And Fishing",0
666,4835,Vendor Payments,2023-06-05 20:28:03.608522,Chicago–Naperville–Elgin,530.0870574226852,18878.43425738761,468,250k - 500k,Retail Trade,0
269,8638,Vendor Payments,2024-04-18 20:28:03.614848,Los Angeles–Long Beach–Anaheim,477.93306717719287,15543.12928663109,578,0 - 250k,Retail Trade,0
758,7116,Payroll,2024-08-26 20:28:03.612502,Austin–Round Rock–San Marcos,756.9026249679684,13225.254493242433,405,0 - 250k,"Finance, Insurance, And Real Estate",0
253,721,Vendor Payments,2023-11-02 20:28:03.600983,Chicago–Naperville–Elgin,1941.30326609558,2508.9388458181647,78,less than 0,"Agriculture, Forestry, And Fishing",0
